,order_id,date,time
0,1,2015-01-01,11:38:36
1,6,2015-01-01,12:29:36
2,7,2015-01-01,12:50:37
3,8,2015-01-01,12:51:37
4,12,2015-01-01,13:04:41
5,14,2015-01-01,13:14:19
6,15,2015-01-01,13:33:00
7,17,2015-01-01,13:53:00
8,18,2015-01-01,13:57:08
9,20,2015-01-01,14:03:08
10,21,2015-01-01,14:14:29
11,22,2015-01-01,14:16:26
12,23,2015-01-01,14:19:03
13,24,2015-01-01,14:23:01
14,25,2015-01-01,14:44:44
15,26,2015-01-01,14:54:26
16,28,2015-01-01,15:35:46
17,31,2015-01-01,15:50:18
18,32,2015-01-01,15:53:18
19,34,2015-01-01,16:21:21
20,36,2015-01-01,16:54:09
21,37,2015-01-01,16:56:09
22,38,2015-01-01,17:03:00
23,39,2015-01-01,17:07:23
24,41,2015-01-01,17:15:20
25,44,2015-01-01,17:54:20
26,45,2015-01-01,17:55:48
27,46,2015-01-01,18:25:51
28,47,2015-01-01,18:26:34
29,48,2015-01-01,18:26:42
30,49,2015-01-01,18:33:00
31,50,2015-01-01,18:41:01
32,51,2015-01-01,18:48:28
33,53,2015-01-01,18:54:17
34,54,2015-01-01,19:01:45
35,57,2015-01-01,19:10:51
36,58,2015-01-01,19:30:40
37,59,2015-01-01,19:40:08
38,60,2015-01-01,20:05:16
39,61,2015-01-01,20:08:43
40,63,2015-01-01,20:51:42
41,67,2015-01-01,22:03:40
42,69,2015-01-01,22:12:13
43,72,2015-01-02,11:57:25
44,74,2015-01-02,12:01:12
45,75,2015-01-02,12:10:15
46,76,2015-01-02,12:21:17
47,77,2015-01-02,12:22:46
48,78,2015-01-02,12:28:14
49,81,2015-01-02,12:40:01
50,84,2015-01-02,13:13:41
51,85,2015-01-02,13:34:49
52,86,2015-01-02,13:40:31
53,87,2015-01-02,14:01:02
54,88,2015-01-02,14:10:08
55,89,2015-01-02,14:30:19
56,90,2015-01-02,15:08:48
57,91,2015-01-02,15:14:43
58,92,2015-01-02,15:17:02
59,95,2015-01-02,16:18:04
60,96,2015-01-02,16:21:20
61,98,2015-01-02,17:18:18
62,99,2015-01-02,17:45:42
63,100,2015-01-02,17:46:17
64,101,2015-01-02,17:51:33
65,103,2015-01-02,18:02:09
66,105,2015-01-02,18:12:01
67,107,2015-01-02,18:25:09
68,108,2015-01-02,18:25:25
69,111,2015-01-02,18:38:01
70,112,2015-01-02,18:41:40
71,113,2015-01-02,18:50:21
72,114,2015-01-02,18:59:32
73,115,2015-01-02,19:05:17
74,116,2015-01-02,19:18:49
75,118,2015-01-02,19:26:59
76,119,2015-01-02,19:32:29
77,121,2015-01-02,19:38:48
78,122,2015-01-02,19:50:19
79,123,2015-01-02,20:12:09
80,124,2015-01-02,20:12:34
81,125,2015-01-02,20:31:06
82,126,2015-01-02,20:53:42
83,127,2015-01-02,20:58:23
84,131,2015-01-02,21:33:10
85,132,2015-01-02,21:42:45
86,133,2015-01-02,22:00:17
